
2025/04/19 (18:48:01) | ===> btop++ v.1.4.0
2025/04/19 (18:48:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/19 (18:48:56) | INFO: Logger set to INFO
2025/04/19 (18:48:56) | INFO: Logger set to DEBUG
2025/04/19 (18:49:02) | INFO: Logger set to INFO

2025/04/19 (18:52:49) | ===> btop++ v.1.4.0
2025/04/19 (18:52:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (22:20:49) | ===> btop++ v.1.4.0
2025/04/19 (22:20:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (22:52:25) | ===> btop++ v.1.4.0
2025/04/19 (22:52:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (23:16:24) | ===> btop++ v.1.4.0
2025/04/19 (23:16:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (08:58:04) | ===> btop++ v.1.4.0
2025/04/20 (08:58:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (09:33:18) | ===> btop++ v.1.4.0
2025/04/20 (09:33:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (09:34:47) | ===> btop++ v.1.4.0
2025/04/20 (09:34:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (21:02:18) | ===> btop++ v.1.4.0
2025/04/22 (21:02:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (07:25:52) | ===> btop++ v.1.4.0
2025/04/23 (07:25:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (07:38:58) | ===> btop++ v.1.4.0
2025/04/23 (07:38:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (07:40:04) | ===> btop++ v.1.4.0
2025/04/23 (07:40:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (11:02:55) | ===> btop++ v.1.4.0
2025/04/23 (11:02:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (12:35:23) | ===> btop++ v.1.4.0
2025/04/25 (12:35:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (18:33:27) | ===> btop++ v.1.4.0
2025/04/25 (18:33:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (06:29:11) | ===> btop++ v.1.4.0
2025/04/27 (06:29:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (07:50:17) | ===> btop++ v.1.4.0
2025/04/28 (07:50:17) | WARNING: Intel GPU: Failed to initialize PMU
